esito_pareri;week;durata_giorni;numero_pratiche;durata_media_gestione_pratica;data_inizio;data_fine
Al Responsabile del Procedimento;21;13;1;13;22/05/2020;04/06/2020
Concessione Emessa;21;86;13;7;22/05/2020;22/06/2020
Concessione Emessa;21;30;7;4;23/05/2020;05/06/2020
Concessione Emessa;21;39;4;10;24/05/2020;17/06/2020
DINIEGO di occupazione temporanea;21;24;16;2;22/05/2020;31/05/2020
DINIEGO di occupazione temporanea;21;56;5;11;23/05/2020;20/06/2020
DINIEGO di occupazione temporanea;21;19;4;5;24/05/2020;04/06/2020
In Attesa Risposta Pareri  (2° richiesta);21;46;2;23;22/05/2020;24/06/2020
Pareri Ricevuti;21;77;5;15;22/05/2020;24/06/2020
Al Responsabile del Procedimento;22;31;2;16;26/05/2020;11/06/2020
Al Responsabile del Procedimento;22;25;1;25;27/05/2020;21/06/2020
Al Responsabile del Procedimento;22;23;1;23;29/05/2020;21/06/2020
Al Responsabile del Procedimento;22;62;6;10;30/05/2020;22/06/2020
Concessione Emessa;22;59;22;3;25/05/2020;09/06/2020
Concessione Emessa;22;81;20;4;26/05/2020;12/06/2020
Concessione Emessa;22;84;10;8;27/05/2020;21/06/2020
Concessione Emessa;22;103;6;17;28/05/2020;22/06/2020
Concessione Emessa;22;119;9;13;29/05/2020;22/06/2020
Concessione Emessa;22;30;2;15;30/05/2020;16/06/2020
DINIEGO di occupazione temporanea;22;63;23;3;25/05/2020;09/06/2020
DINIEGO di occupazione temporanea;22;74;17;4;26/05/2020;12/06/2020
DINIEGO di occupazione temporanea;22;84;8;11;27/05/2020;17/06/2020
DINIEGO di occupazione temporanea;22;52;4;13;28/05/2020;18/06/2020
DINIEGO di occupazione temporanea;22;5;1;5;30/05/2020;04/06/2020
Firma Diniego Direttore;22;17;1;17;26/05/2020;12/06/2020
In Attesa Risposta Pareri;22;41;2;21;26/05/2020;22/06/2020
In Attesa Risposta Pareri;22;76;25;3;27/05/2020;24/06/2020
In Attesa Risposta Pareri;22;53;30;2;28/05/2020;24/06/2020
In Attesa Risposta Pareri;22;25;16;2;29/05/2020;23/06/2020
In Attesa Risposta Pareri;22;47;12;4;30/05/2020;23/06/2020
In Attesa Risposta Pareri;22;23;10;2;31/05/2020;23/06/2020
In Attesa Risposta Pareri  (2° richiesta);22;86;6;14;25/05/2020;24/06/2020
In Attesa Risposta Pareri  (2° richiesta);22;44;2;22;28/05/2020;22/06/2020
In Attesa Risposta Pareri  (2° richiesta);22;18;4;5;29/05/2020;16/06/2020
Inserimento Seconda Richiesta Pareri;22;0;1;0;29/05/2020;29/05/2020
Pareri Ricevuti;22;33;2;17;26/05/2020;12/06/2020
Pareri Ricevuti;22;26;1;26;27/05/2020;22/06/2020
Pareri Ricevuti;22;25;2;13;28/05/2020;22/06/2020
Pareri Ricevuti;22;24;1;24;29/05/2020;22/06/2020
Pareri Ricevuti;22;23;1;23;30/05/2020;22/06/2020
Pareri Ricevuti;22;9;1;9;31/05/2020;09/06/2020
Redazione Concessione;22;14;1;14;25/05/2020;08/06/2020
Redazione DINIEGO;22;17;1;17;26/05/2020;12/06/2020
Ritorno a RP dopo 2° giro pareri;22;41;2;21;25/05/2020;22/06/2020
Ritorno a RP dopo 2° giro pareri;22;39;2;20;27/05/2020;22/06/2020
Ritorno a RP dopo 2° giro pareri;22;42;2;21;29/05/2020;21/06/2020
Visualizzazione Concessione;22;17;1;17;26/05/2020;12/06/2020
Al Responsabile del Procedimento;23;19;5;4;02/06/2020;21/06/2020
Al Responsabile del Procedimento;23;18;1;18;03/06/2020;21/06/2020
ARCHIVIO;23;15;1;15;03/06/2020;18/06/2020
Concessione Emessa;23;1;1;1;03/06/2020;04/06/2020
Concessione Emessa;23;31;3;10;04/06/2020;21/06/2020
DINIEGO di occupazione temporanea;23;8;1;8;02/06/2020;10/06/2020
DINIEGO di occupazione temporanea;23;15;2;8;03/06/2020;18/06/2020
In Attesa Risposta Pareri;23;45;21;2;01/06/2020;24/06/2020
In Attesa Risposta Pareri;23;21;8;3;02/06/2020;23/06/2020
In Attesa Risposta Pareri;23;20;24;1;03/06/2020;23/06/2020
In Attesa Risposta Pareri;23;19;26;1;04/06/2020;23/06/2020
In Attesa Risposta Pareri;23;18;35;1;05/06/2020;23/06/2020
In Attesa Risposta Pareri;23;0;9;0;06/06/2020;06/06/2020
In Attesa Risposta Pareri;23;17;4;4;07/06/2020;24/06/2020
In Attesa Risposta Pareri  (2° richiesta);23;0;1;0;05/06/2020;05/06/2020
Pareri Ricevuti;23;43;2;22;01/06/2020;23/06/2020
Pareri Ricevuti;23;33;3;11;03/06/2020;21/06/2020
Pareri Ricevuti;23;6;2;3;04/06/2020;10/06/2020
Pareri Ricevuti;23;17;1;17;05/06/2020;22/06/2020
Ritorno a RP dopo 2° giro pareri;23;18;1;18;04/06/2020;22/06/2020
Ritorno a RP dopo 2° giro pareri;23;15;2;8;07/06/2020;22/06/2020
Visualizzazione Concessione;23;35;6;6;01/06/2020;19/06/2020
Visualizzazione Dinigeo;23;6;1;6;04/06/2020;10/06/2020
Concessione Emessa;24;12;5;2;10/06/2020;22/06/2020
DINIEGO di occupazione temporanea;24;7;1;7;08/06/2020;15/06/2020
In Attesa Risposta Pareri;24;15;24;1;08/06/2020;23/06/2020
In Attesa Risposta Pareri;24;14;28;1;09/06/2020;23/06/2020
In Attesa Risposta Pareri;24;0;16;0;10/06/2020;10/06/2020
In Attesa Risposta Pareri;24;0;13;0;11/06/2020;11/06/2020
In Attesa Risposta Pareri;24;0;10;0;12/06/2020;12/06/2020
In Attesa Risposta Pareri;24;0;5;0;13/06/2020;13/06/2020
In Attesa Risposta Pareri;24;0;3;0;14/06/2020;14/06/2020
In Attesa Risposta Pareri  (2° richiesta);24;0;4;0;08/06/2020;08/06/2020
In Attesa Risposta Pareri  (2° richiesta);24;0;1;0;10/06/2020;10/06/2020
In Attesa Risposta Pareri  (2° richiesta);24;0;1;0;12/06/2020;12/06/2020
Pareri Ricevuti;24;12;1;12;10/06/2020;22/06/2020
In Attesa Risposta Pareri;25;0;12;0;15/06/2020;15/06/2020
In Attesa Risposta Pareri;25;0;11;0;16/06/2020;16/06/2020
In Attesa Risposta Pareri;25;0;17;0;17/06/2020;17/06/2020
In Attesa Risposta Pareri;25;4;7;1;18/06/2020;22/06/2020
In Attesa Risposta Pareri;25;0;9;0;19/06/2020;19/06/2020
In Attesa Risposta Pareri;25;0;1;0;20/06/2020;20/06/2020
In Attesa Risposta Pareri;25;2;3;1;21/06/2020;23/06/2020
Pareri Ricevuti;25;7;1;7;15/06/2020;22/06/2020
In Attesa Risposta Pareri;26;1;5;0;22/06/2020;23/06/2020
Istanza Ricevuta;26;0;3;0;22/06/2020;22/06/2020
Pareri Ricevuti;26;0;1;0;22/06/2020;22/06/2020
Pareri Ricevuti;26;0;16;0;23/06/2020;23/06/2020
